name_firm,street_name,category
Милавица,ул. Косарева 18 ,Товары для дома и дачи
Любимая аптека,ул. Барыкина 100 ,Медицина и фармацевтика
Аптека № 192,ул. проспект Октября 87А (Индекс: 246029),Медицина и фармацевтика
Балкон Рама,ул. Шилова 2 ,Строительство и недвижимость
Изюминка,ул. проспект Космонавтов 90 ,Товары для дома и дачи
Связной,ул. Курчатова 2 (Индекс: 246044),Телекоммуникации и связь
Hydroscand,ул. Текстильная 9 ,Производство и поставки
МТС,ул. Косарева 18 ,Телекоммуникации и связь
Студия танца eXtreme,ул. Советская 60 ,Культура и искусство
Баня,ул. 2-й переулок Островского 1 ,Развлечения
Ясли-Сад № 33 г Гомеля,ул. Студенческий проезд 17 ,Наука и образование
Велопарковка,ул. Привокзальная 2А ,Велопарковка
Электромонтажные Работы в Гомеле,ул. Нижнебрилёвская 87А ,Строительство
SirRent.by,ул. Барыкина 329 ,Производство и поставки
Доброном,ул. проспект Октября 95А (Индекс: 246029),Товары для дома и дачи
М8 Правильный дом,ул. Кооперативная 30 ,Продажа кирпича
Автомобильная парковка,ул. проспект Октября 67 (Индекс: 246029),Автомобили
Дионис,ул. Свиридова 99 ,Товары для дома и дачи
Консультант по красоте Гришковцова М. В.,ул. Чечерская 58 ,Косметика и парфюмерия
Ananta,ул. М.Г. Ефремова 16 ,Спорт
3D-технологии,ул. 60 лет СССР 1 ,Изготовление макетов
Пластайм,ул. Карбышева 12 (Индекс: 246029),Тара и упаковка
Визит-Тур,ул. Головацкого 19 ,Транспорт и перевозки
Атлантисэколайн,ул. проспект Победы 16А ,Установка кондиционеров
Твой вкус,ул. Советская 22 ,Товары для дома и дачи
Автопарковка,ул. площадь Победы 1 (Индекс: 246022),Автомобили
Металлопрокат Бизнес Подход,ул. Федосеенко 8 ,Недвижимость
Сантехлиния,ул. Украинская 19 ,Стройматериалы
Табакерка,ул. Мазурова 70Б ,Товары для дома и дачи
Тален трак,ул. проспект Октября 28 (Индекс: 246029),Производство и поставки
Андора Плюс,ул. Луговая 2В ,Автомобили
Ателье,ул. Рогачёвская 16 ,Ремонт одежды
Столовая,ул. Лепешинского 5 ,Отдых и туризм
BelToll,ул. Текстильная 8 ,Электронная платежная система
Мусорная площадка,ул. Катунина 12 ,Бытовые услуги
Единые системы,ул. Советская 126 ,Установка домофонов
Missha корейская косметика,ул. Советская 200 ,Косметика и парфюмерия
Школа-студия Две Сороки,ул. Богдана Хмельницкого 77А ,Обучение мастеров для салонов красоты
Крепежные Изделия,ул. проспект Октября 22А (Индекс: 246027),Продажа крепежных изделий
Mark Formelle,ул. проспект Победы 12 (Индекс: 246022),Товары для дома и дачи
Высокий Стандарт,ул. Шилова 16 ,Стройматериалы
"МТБАНК, Ркц-45",ул. Советская 97 ,Бизнес
Салон красоты,ул. Репина 3 ,Уход за внешностью
Спринт,ул. Ирининская 9 ,Полиграфия
Энергомаш,ул. Барыкина 309Б ,Стройматериалы
Sat Sun Agro,ул. Лепешинского 2А ,Транспорт и перевозки
Аникрон-Бел,ул. Советская 29 ,Услуги экспедирования грузов
Стоматология Щуко Мед,ул. Международная 14 ,Медицина и фармацевтика
Cezar,ул. Катунина 51 ,Спорт
Промстройотделка,ул. Братьев Лизюковых 14А (Индекс: 246029),Строительство и недвижимость
Интернет-магазин и магазин-склад Velo-Detki.by,ул. Карповича 28 ,Спорт
Велопарковка,ул. М.Г. Ефремова 16А ,Велопарковка
Кристалл,ул. Ирининская 25 ,Финансы
Автосервис,ул. 60 лет СССР 5 ,Автомобили
Томас,ул. Косарева 53 ,"Семья, дети, домашние животные"
Адвокат Бабич Е.,ул. Ильича 4 ,Юридические услуги
Апрель,ул. Троллейбусная 5 ,Производство и поставки
Детские игровые залы и площадки,ул. Талалихина 8 ,Развлечения
Промстальдрев,ул. проспект Октября 28 (Индекс: 246029),Стройматериалы
Триада-тур плюс,ул. Гагарина 49 ,Турагентство
Салон цветов,ул. Крестьянская 30 ,Организация праздников
Фотофокс,ул. проспект Ленина 34 ,Полиграфические услуги
Дворик,ул. 8-я Иногородняя 16А ,Кафе
Ежа,ул. Барыкина 289А/1 ,Кафе
Tom electric,ул. Барыкина 86 ,Продажа светотехники
"Гомельский противотуберкулезный диспансер, филиал № 1",ул. Рабочая 24 ,Медицина и фармацевтика
ГДО Белгипродор,ул. проспект Октября 1А ,Строительство
Товары для малышей,ул. Речицкий проспект 61 ,Продажа детской мебели
Минск Кристалл,ул. 60 лет СССР 14 (Индекс: 246049),Товары для дома и дачи
Символика,ул. проспект Ленина 3 ,Изготовление и оптовая продажа сувениров
Простая Механика,ул. Речицкий проспект 7А (Индекс: 246027),Автомобили
Фиона,ул. проспект Ленина 47 ,Магазин подарков и сувениров
Сеть Проект,ул. Тельмана 19 ,Строительство
Грудничковое Плавание в Гомеле,ул. Головацкого 72 ,Спорт
АТС № 45,ул. Косарева 23 ,Телефонная связь
Памятники и ритуальные услуги ХимельТорг,ул. Речицкий проспект 7 (Индекс: 246027),Ритуальные услуги
ГомельавтоГАЗ,ул. Могилёвская 1Б ,Кузовной ремонт автомобиля
"Гомельская городская клиническая больница № 3, отделение малоинвазивной и реконструктивной хирургии",ул. Ильича 286 ,Медицина и фармацевтика
"БПС-Сбербанк, банкомат",ул. Карповича 28 ,Бизнес
Купить инструмент в,ул. Советская 97 ,Строительный инст
Марина,ул. 2-й переулок Островского 1 ,Отдых и туризм
Белфарм,ул. Катунина 24 ,Медицина и фармацевтика
Мила,ул. Речицкий проспект 5В ,Косметика и парфюмерия
Голливуд,ул. Гагарина 65 ,"Семья, дети, домашние животные"
Улица Луначарского,ул. 1-я Луначарского 17 ,Транспорт и перевозки
ЛюксЛифт,ул. Владимирова 8 ,Производство и поставки
Автозапчасти,ул. Олимпийская 23 ,Автомобили
Ясли-сад № 55,ул. 2-я Колхозная 20 ,Наука и образование
Гомельский городской комбинат школьного питания,ул. Белорусская 62 ,Производство и поставки
Центр Сквира,ул. Черниговская 36 ,Медицина и фармацевтика
Аптека 209/5,ул. Зайцева 67 ,Медицина и фармацевтика
Фастфуд,ул. Хатаевича 40 ,Быстрое питание
Храм Святого Благоверного Князя Александра Невского,ул. Ильича 126А ,Религия
Алекс Вилл,ул. Комсомольская 10 (Индекс: 630066),Детские игрушки и игры
TianDe,ул. проспект Ленина 10 ,Товары для дома и дачи
Фриа-Бел,ул. Интернациональная 10А ,Строительство и недвижимость
Детские игровые залы и площадки,ул. проспект Космонавтов 30 ,Развлечения
Смавстройсервис,ул. Шевченко 27 ,Стройматериалы оптом
Гидросила,ул. Шилова 8 ,Производство и поставки
Автомир,ул. Федюнинского 8А ,Автомобили
Леко,ул. Пушкина 11 ,Медицина и фармацевтика
Городские Зрелищные Кассы,ул. проспект Ленина 16 ,Культура и искусство
Центр развития ребенка Песочница,ул. Головацкого 140 ,Наука и образование
