name_firm,street_name,category
Тонирование и бронирование автомобилей,ул. Подгорная 12 ,Автомобили
Медицинский центр,ул. Кирова 29 ,Медицина и фармацевтика
Apartment central district Chatajevica str. 71,ул. vulica Chatajevica 71 ,Недвижимость
Eva Menda Beauty Store,ул. Гагарина 49 ,Косметика и парфюмерия
Ремонт ювелирных изделий,ул. Советская 126 ,Бытовые услуги
Ремонт Велосипеда Речица,ул. Жукова 50 ,Спорт
АвтоСервис,ул. Владимирова 41А ,Автомобили
Наружная реклама,ул. Тургенева 42А ,Наружная реклама
Белинвестбанк Инфокиоск № 522,ул. Советская 126 ,Реклама
Территория защиты,ул. Междугородняя 5А/70 ,Автомобили
СоюзРегионСтрой,ул. Привокзальная площадь 1 (Индекс: 246022),Бизнес
Отдел охраны Центрального района,ул. Артиллерийская 14А (Индекс: 246022),Государство
Белагропромбанк,ул. Советская 18 ,Бизнес
Общежитие кадетского училища,ул. Красноармейская 26 ,Туризм
БелНИПИнефть,ул. Чонгарской Дивизии 16 ,НИИ
"Беларусбанк, отделение",ул. Свиридова 15 ,Бизнес
Ремонт телефонов,ул. Речицкий проспект 42 ,Ремонт телефонов
Нижнее бельё,ул. Карповича 28 ,Товары для дома и дачи
Белгидромаш,ул. Текстильная 3А ,Производство и поставки
ВРиКо,ул. Лещинская 153Б ,Газобаллонное оборудование
Мила,ул. Советская 40А (Индекс: 246022),Косметика и парфюмерия
Срочный,ул. Склезнёва 19 ,Ремонт обуви
ОДО стройдиапазон,ул. Троллейбусная 12В ,Коммунальные службы
Висем,ул. Ильича 87 ,Микрофинансовые организации
Полесье,ул. Ридного 7А ,Товары для дома и дачи
Проект-Геология,ул. проспект Победы 25 ,Строительство
Магазин люстр,ул. Катунина 14 ,Светильники
Обувь,ул. Ильича 55 ,Товары для дома и дачи
Биг Стар,ул. Гагарина 65 ,Товары для дома и дачи
Гринда,ул. проспект Победы 7 (Индекс: 246022),Стройматериалы
Белфаратранс,ул. Текстильная 8 ,Услуги экспедирования грузов
Центр по Обследованию Зданий и Сооружений ЧПУП,ул. Достоевского 1 ,Строительство
Отделение почтовой связи № 53,ул. Мазурова 59 ,Почта
Белинвестбанк Банкомат № 51,ул. Бориса Царикова 1 ,Бизнес
Коралл,ул. Лепешинского 7 ,Обработка металла
ТВТ-Маркет,ул. Т.С. Бородина 6 ,Товары для дома и дачи
Хамелеон,ул. Речицкий проспект 91А ,Уход за внешностью
Улица Карповича,ул. проспект Ленина 20 ,Транспорт и перевозки
Фирменный магазин № 4 Гомельского винодельческого завода,ул. проспект Космонавтов 88 ,Товары для дома и дачи
Хлебный завод,ул. Димитрова 13 ,Производство и поставки
"Гомельское агентство по государственной регистрации и земельному кадастру, гомельский межгородской филиал",ул. Войкова 87 ,Кадастровые работы
Остров чистоты и вкуса,ул. Ильича 28 ,Косметика и парфюмерия
Apartaments Lenin Avenue,ул. Pryvakzalnaja vulica 7 ,Недвижимость
Фотоцентр,ул. Педченко 14 ,Видео- и фотоуслуги
Межрайонный регистрационный отдел ГАИ УВД Гомельского облисполкома,ул. Борисенко 10 ,Государство
Заготовка вторичного сырья,ул. Дубравная 10 ,Производство и поставки
Банк БелВЭБ,ул. Привокзальная площадь 1 ,Бизнес
Промбытторговля и Сервис,ул. Богдана Хмельницкого 77 ,Производство и поставки
КС Банк,ул. проспект Ленина 30А ,Бизнес
Апдейт,ул. Никольская 24 ,Хостинг
Надзея,ул. Головацкого 19 ,Кафе
Infinity,ул. Карповича 28 ,Организация праздников
Магазин № 4,ул. проспект Октября 13А ,Товары для дома и дачи
Центр Антикоррозийной Защиты Krown,ул. Ильича 1Б ,Автомобили
Ла Гальера,ул. Ильича 34 ,Турагентство
"Белтелеком, Министерство связи и информатизации РБ",ул. 50 лет Завода Гомсельмаш 4А ,Государство
Двери,ул. Троллейбусная 12 ,Стройматериалы
Славянские рецепты,ул. проспект Космонавтов 66 ,Товары для дома и дачи
Молочный магазин,ул. Интернациональная 49 ,Товары для дома и дачи
Домашний,ул. Юношеская 1 ,Товары для дома и дачи
Магазин Солнышко,ул. Советская 196 ,Товары для дома и дачи
Салон груминга ГлаМур,ул. Якуба Коласа 5 ,Уход за внешностью
Аптека № 156/3,ул. Волгоградская 43 ,Медицина и фармацевтика
Автосервис,ул. Молодогвардейская 1А ,Установка кондиционеров
Лимк Бетон,ул. Индустриальный проезд 12А ,Стройматериалы
Art-style,ул. Мазурова 26 ,Стройматериалы
Black Fox Coffee,ул. Советская 6 ,Кафе
Зоомагазин,ул. Сухого 2 ,"Семья, дети, домашние животные"
Поселковый совет,ул. Михаила Ломоносова 14Б ,Государство
Записки Отпускника,ул. проспект Ленина 1 ,Реклама
Детские игровые залы и площадки,ул. проспект Октября 4 (Индекс: 246027),Развлечения
1 Комнатная Квартира,ул. praspiekt Pieramohi 18 ,Недвижимость
Автосервис,ул. Барыкина 240/11 ,Автомобили
Плитка,ул. Советская 138А ,Мебель для ванной
"Школа № 71, начальная",ул. Зои Космодемьянской 10 ,Школы
ОГПС 18 ПЧ 1,ул. Советская 19 ,Безопасность
Гомельское областное управление МЧС,ул. Речицкий проспект 35А/14 ,Безопасность
Парикмахерская,ул. Д.Н. Пенязькова 19 (Индекс: 246029),Уход за внешностью
Любимая аптека,ул. Хатаевича 9 ,Медицина и фармацевтика
Храм Преображения Господня,ул. Каменщикова 9 ,Религия
Buro 7,ул. Федюнинского 19А ,Продажа и ремонт оргтехники
Белинвестбанк Инфокиоск № 572,ул. Федюнинского 25 ,Реклама
ЧПТУП БелАрмОкна плюс,ул. Шилова 15 ,Стройматериалы
Банк БелВЭБ,ул. Крестьянская 41 ,Бизнес
Белросстрах,ул. Кирова 20 ,Все виды страхования
Рубин Белои,ул. Киевская 65 ,Пиломатериалы
Хауспроджект,ул. Мазурова 56 ,Услуги дизайн интерьеров
Администрация Советского района г. Гомеля,ул. Речицкий проспект 6 (Индекс: 246027),Государство
Товары для художников,ул. проспект Ленина 43 ,Творчество и рукоделие
Nikmaster.by,ул. Головачёва 12 ,Услуги по сборке мебели
Фармация № 167/2,ул. Ландышева 22 ,Медицина и фармацевтика
AMI-мебель,ул. проспект Октября 41 (Индекс: 246029),Мебель
Ткани,ул. Карповича 19 ,Продажа швейной фурнитуры
Почта № 44,ул. Курчатова 2 ,Почта
Воздушные шары с гелием,ул. Д.Н. Пенязькова 5А (Индекс: 246029),Организация праздников
Магазин продуктов,ул. Богдана Хмельницкого 96 ,Товары для дома и дачи
Lilas studio,ул. Зои Космодемьянской 8 ,Наука и образование
Coffee & Toast,ул. проспект Ленина 10 ,Кафе
Автосервис Мерседес в Гомеле,ул. 6-я Иногородняя 54 ,Производство и поставки
Вектор,ул. Жарковского 11 ,Строительство
TruckBel,ул. Текстильная 5 ,Производство и поставки
Велопарковка,ул. Бориса Царикова 1 ,Велопарковка
Жэу-3,ул. Артёма 8 ,Коммунальные службы
Алеся,ул. проспект Победы 15 (Индекс: 246022),Товары для дома и дачи
Магазин Рыбацкий,ул. проспект Ленина 16 ,Товары для охоты
Гомель,ул. Ильича 30 ,Туризм
Общежитие,ул. Портовая 14 ,Туризм
СтройМеталл,ул. Владимирова 14 ,Стройматериалы
Паритетбанк,ул. проспект Ленина 29 ,Бизнес
Сакашатя,ул. 60 лет СССР 14 (Индекс: 246049),"Семья, дети, домашние животные"
Аптека Фармация № 133/1,ул. Медицинская 10 ,Медицина и фармацевтика
Велопарковка,ул. Юбилейная 7 ,Велопарковка
Платежный терминал,ул. Полесская 14 ,Платежный терминал
Tirerack,ул. Жарковского 11 ,Компьютеры и интернет
Парикмахерская,ул. проспект Октября 8 ,Уход за внешностью
Тротуарная плитка,ул. Интендантская 1А ,Стройматериалы
Royal spirit,ул. Катунина 6 ,Товары для дома и дачи
Мусорная площадка,ул. проспект Космонавтов 70 ,Бытовые услуги
Магазин хозтоваров,ул. проспект Космонавтов 61А ,Товары для дома и дачи
Белпочта,ул. Советская 8 (Индекс: 246048),Почта
Головацкого,ул. Головацкого 96 ,Туризм
Мастер-Ок,ул. Речицкий проспект 5В (Индекс: 246027),Стройматериалы
Okland.by,ул. Комарова 19 ,Фурнитура для окон
Марко,ул. Гагарина 65 ,Товары для дома и дачи
Парковка,ул. Хатаевича 32 ,Автомобили
Sls Group,ул. Речицкий проспект 75 ,Производство и поставки
ТехноНИКОЛЬ Торговая Сеть,ул. Шилова 15А ,Стройматериалы
Gomelmarket.by,ул. Бориса Царикова 44 ,Аксессуары для автомобилей
Yavid,ул. Советская 138А ,Производство и поставки
Портал Деталей,ул. 2-й переулок Островского 1 ,Аксессуары для автомобилей
Автомобильные грузоперевозки,ул. проспект Победы 27А (Индекс: 246022),Услуги экспедирования грузов
Европа,ул. Карповича 45 ,Товары для дома и дачи
ГСК № 10,ул. Владимирова 41А ,Автомобили
Фастфуд,ул. Пролетарская 69 ,Быстрое питание
Асгард,ул. Речицкий проспект 4 (Индекс: 246027),Мебель
Бон-Бон,ул. Ильича 51 ,Товары для дома и дачи
City Express,ул. Речицкий проспект 5А (Индекс: 246027),Услуги грузчиков
QIWI,ул. М.Г. Ефремова 16А ,Платежный терминал
Одэкс,ул. Артиллерийская 2 (Индекс: 246022),Системы охраны
Магазин обувь,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Зооэконом,ул. Бориса Царикова 53А ,"Семья, дети, домашние животные"
"ГУЗ Гомельская центральная городская поликлиника, филиал № 1",ул. Косарева 11 ,Медицина и фармацевтика
Монумент,ул. 8-я Иногородняя 2 ,Изготовление памятников и надгробий
Корну Копия,ул. проспект Ленина 10 ,Полиграфические услуги
"Гомельоблдорстройкомплект, автомобильное хозяйство",ул. Добрушская 57Б/1 ,Транспорт и перевозки
Роллинг Авто,ул. Войсковая 22А ,Автомобили
Velostyle,ул. Каменщикова 3 ,Спорт
Мусорная площадка,ул. Урицкого 85А ,Бытовые услуги
Ремонт бытовой техники,ул. Кирова 55 (Индекс: 246022),Бытовые услуги
Отель Турист,ул. Советская 87 ,Туризм
Велопарковка,ул. Огоренко 25 ,Велопарковка
Мусорная площадка,ул. Григория Денисенко 24 (Индекс: 246029),Бытовые услуги
Rock Your English,ул. Артиллерийская 6 (Индекс: 246022),Наука и образование
Банк Дабрабыт,ул. Речицкий проспект 5В (Индекс: 246027),Бизнес
Детские игровые залы и площадки,ул. Мазурова 67 ,Развлечения
Гомельский Механический завод,ул. Красноармейская 3А ,Производство и поставки
Ателье,ул. проспект Ленина 6 ,Ателье по пошиву одежды
Мирос,ул. Ярославская 19 ,Строительство и недвижимость
Western Union,ул. Владимирова 29 ,Денежные переводы
Велопарковка,ул. Курчатова 1 (Индекс: 246022),Велопарковка
Авто Гомель Аукцион,ул. Интендантская 7А ,Бизнес
C Ветерком,ул. Привокзальная площадь 1 (Индекс: 246022),Транспорт и перевозки
Метизная Лавка,ул. Рокоссовского 3 ,Продажа крепежных изделий
Jenavi,ул. Гагарина 65 ,Товары для дома и дачи
Магазин Никольский,ул. Калинина 14 ,Кафе
Копеечка,ул. Волгоградская 43Б ,Товары для дома и дачи
Рассвет,ул. Ильича 87 ,Товары для дома и дачи
Беларусбанк,ул. Барыкина 94 ,Бизнес
Бест-Графика,ул. Советская 74 ,Полиграфические услуги
StroiGomel,ул. Мазурова 67 ,Строительство и недвижимость
Ростспецтранс,ул. Привокзальная площадь 1 (Индекс: 246022),Транспорт и перевозки
АйТи Мобайл,ул. Карповича 16 ,Продажа компьютеров
ГУ Гомельский городской центр гигиены и эпидемиологии,ул. Советская 143 ,Государство
Музей истории образования Гомельщины,ул. Юбилейная 7 ,Культура и искусство
Солянка,ул. Привокзальная площадь 1 (Индекс: 246022),Быстрое питание
Адвокат Коваленко Г. В.,ул. проспект Ленина 31 ,Юридические услуги
Квартира на сутки на Комсомольской,ул. Комсомольская 15 ,Туризм
Малибу,ул. Т.С. Бородина 4 ,Уход за внешностью
Мусорная площадка,ул. Жемчужная 18А ,Бытовые услуги
Велопарковка,ул. Коммунаров 11 ,Велопарковка
Апартаменты PaulMarie in Gomel,ул. Кирова 15 ,Недвижимость
Apollon,ул. Гагарина 65 ,Товары для дома и дачи
Одежда для всей семьи,ул. Крестьянская 42А ,Магазины секонд-хенд
Белинвестбанк Банкомат № 60,ул. Речицкий проспект 61 ,Бизнес
Велопарковка,ул. Брестская 3 ,Велопарковка
1000 мелочей,ул. Карповича 10 ,Товары для дома и дачи
Лосось,ул. Федосеенко 8 ,Кафе
Промтрансинвест,ул. Речицкий проспект 38 ,Все виды страхования
Мусорная площадка,ул. Интернациональный проезд 15 ,Бытовые услуги
Банк БелВЭБ,ул. Советская 20 ,Бизнес
"Гомельская областная детская клиническая больница, корпус М (кафедра педиатрии)",ул. Жарковского 9 ,Медицина и фармацевтика
Kvartira - 5 minut ot centra,ул. Кожара 4 ,Недвижимость
Развивай-ка,ул. проспект Ленина 6 ,Наука и образование
Аптека № 165/5,ул. Барыкина 100 (Индекс: 246027),Медицина и фармацевтика
Моторлэнд,ул. Героев Подпольщиков 20 ,Товары для дома и дачи
Barbara,ул. проспект Космонавтов 61 ,Товары для дома и дачи
Юнистрим,ул. Богдана Хмельницкого 80А ,Денежные переводы
Беллакт-Столица,ул. Шилова 7 ,Товары для дома и дачи
Экзюпери,ул. Советская 12 ,Кафе
Smm продвижение в Беларуси,ул. Троллейбусная 10 ,Компьютеры и интернет
Золотая нить,ул. Мазурова 117В ,Товары для дома и дачи
Мусорная площадка,ул. Димитрова 82 ,Бытовые услуги
Белгазпромбанк,ул. Сухого 2 ,Реклама
Астер-лифт,ул. Маневича 18 ,Производство и поставки
Pompon,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Памятники,ул. Бочкина 219 ,Изготовление памятников и надгробий
Зоомагазин,ул. М.Г. Ефремова 16 ,"Семья, дети, домашние животные"
Ремедика,ул. М.Г. Ефремова 11А ,Медицина и фармацевтика
Fielmann,ул. Катунина 24 ,Контактные линзы
ГОЦОР по игровым видам спорта,ул. Ирининская 16 ,Туризм
Ваш ковёр,ул. Катунина 14 ,Товары для дома и дачи
"Гомельское областное управление Департамента охраны МВД Республики Беларусь, отдел",ул. Озёрная 60Б ,Государство
Хозтовары,ул. Владимирова 61 ,Товары для дома и дачи
Безопасность труда,ул. Сосновая 18 ,Средства индивидуальной защиты
П.И. Чайковский,ул. Ланге 17 ,Культура и искусство
Старстройдизайн,ул. Катунина 4 ,Строительство и недвижимость
Столовая,ул. Барыкина 319А ,Отдых и туризм
Adel,ул. проспект Ленина 14 ,Медицина и фармацевтика
ПР,ул. проспект Ленина 34 ,Недвижимость
Учебная пожарная аварийно-спасательная часть Гомельского филиала УГЗ МЧС Республики Беларусь,ул. Речицкий проспект 35А/14 ,Государство
ВТИ,ул. Гагарина 55 ,Продажа компьютеров
Дана,ул. Первомайская 3 ,Уход за внешностью
Авс Дизайн,ул. Барыкина 1 ,Установка рольставней
Мясной маркет,ул. Каменщикова 3 ,Товары для дома и дачи
Велопарковка,ул. проспект Ленина 29А ,Велопарковка
Велопарковка,ул. Огоренко 12 ,Велопарковка
Королевство Сна,ул. Барыкина 155 ,Продажа корпусной мебели
Лиана,ул. Минская 10 ,Уход за внешностью
Рыба и морепродукты,ул. 70 лет БССР 42А ,Магазин рыбы и морепродуктов
Шиномонтаж,ул. Джураева 124Б ,Шиномонтаж
Линейный центр транспортного обслуживания,ул. Красноармейская 12 ,Услуги ЖД грузоперевозки
Квартира пр-т Речицкий 59,ул. Речицкий проспект 59 ,Недвижимость
21vek.by,ул. Федосеенко 4А ,Пункт выдачи
Redsale.by,ул. Рабочая 28 ,Компьютеры и интернет
Белорусское Общество Инвалидов Гомельская Районная Организация,ул. Ильича 35 ,Общество
"Беларусбанк, инфокиоск",ул. Ильича 290 ,Реклама
Царское Золото Ювелирный салон Залант Групп,ул. Советская 200 ,Товары для дома и дачи
M&M Militzer & Munch,ул. Тельмана 44 ,Услуги ЖД грузоперевозки
Олимп Авто,ул. Олимпийская 21 ,Шиномонтаж
Фрукты и Овощи,ул. Богданова 12/3 ,Товары для дома и дачи
Фитнес-студия 90/60/90,ул. Советская 60А ,Спорт
Ar moda,ул. Гагарина 65 ,Товары для дома и дачи
"Отдел Образования, Спорта и Туризма Кормянского Райисполкома",ул. Рабочая 7 ,Школы
Два Гуся,ул. Фадеева 1А ,Товары для дома и дачи
Сантехника,ул. Гагарина 89 ,Стройматериалы
Связной,ул. Речицкий проспект 63А ,Ремонт телефонов
Мебель,ул. Каменщикова 36 ,Мебель на заказ
Polisadnik,ул. Белорусская 50 ,Товары для дома и дачи
Белпро,ул. Юбилейная 50 ,Производство и поставки
Morcilini,ул. Гагарина 65 ,Товары для дома и дачи
RELAX-центр,ул. Советская 87 ,Развлечения
Одежда,ул. Ильича 47А ,Товары для дома и дачи
Корпус Про-групп,ул. Островского 101 ,Мебель на заказ
Пельменная,ул. Кирова 9 ,Быстрое питание
Oriflame,ул. Карбышева 9 (Индекс: 246029),Косметика и парфюмерия
Автостёкла,ул. Федосеенко 8 ,Автомобили
Вырастай-ка!,ул. Карповича 28/4 ,"Семья, дети, домашние животные"
Детские товары игрушки,ул. Ильича 59А ,Детские игрушки и игры
Пицца,ул. Привокзальная 2А ,Кафе
Велопарковка,ул. Ильича 161Ж ,Велопарковка
Ясли-Сад № 155,ул. Речицкий проспект 81 ,Наука и образование
По требованию,ул. Луговая 4 ,Транспорт и перевозки
Мона,ул. Советская 30 ,Уход за внешностью
Языковая академия Прогресс,ул. Пролетарская 5 ,Наука и образование
Gina,ул. Советская 60 ,Товары для дома и дачи
Областной центр олимпийского резерва по паралимпийским и дефлимпийским видам спорта,ул. Юбилейная 48 ,Спорт
Велопарковка,ул. Советская 108 ,Велопарковка
Успешный старт,ул. Лазурная 8 ,Наука и образование
Нотариальная контора № 2,ул. Михаила Ломоносова 14Б ,Юридические услуги
Г. Орша,ул. Советская 23 ,Производство и поставки
Модное Окно,ул. Пушкина 11 ,Товары для дома и дачи
Белнефтестрах,ул. Речицкий проспект 5В (Индекс: 246027),Все виды страхования
Дачник-удачник,ул. Ильича 55 ,Товары для дома и дачи
RoyalTent,ул. Советская 1 ,Организация праздников
Faberlic,ул. 8-я Иногородняя 16А ,Косметика и парфюмерия
Профессиональная уборка,ул. Якуба Коласа 11 ,Бизнес
QIWI,ул. Бориса Царикова 78 ,Платежный терминал
Вилла Роза,ул. Ильича 150 ,Туризм
Геос опт,ул. Советская 123А ,Бизнес
Справочное бюро,ул. Комиссарова 13/9 ,Компьютеры и интернет
Фонтан,ул. Ильича 288 ,Отдых и туризм
Батавтотрейд,ул. Рабочая 5 ,Производство и поставки
Fashion For You,ул. Гагарина 65 ,Товары для дома и дачи
КАН-терм,ул. Тельмана 4 ,Строительство и недвижимость
"Ясли-Сад № 99, специальный",ул. проспект Октября 12 (Индекс: 246027),Наука и образование
Расширение границ пространства,ул. проспект Космонавтов 61 ,Компьютеры и интернет
Велопарковка,ул. Свиридова 83А ,Велопарковка
"Белорусское управление механизации, Гомельский филиал № 60",ул. Борисенко 3А ,Строительство и недвижимость
Белавтоматикасервис,ул. Карбышева 12 (Индекс: 246029),Производство и поставки
"УЗ Гомельская центральная городская детская клиническая поликлиника, филиал № 2",ул. Международная 6 ,Медицина и фармацевтика
Магазин одежды,ул. Ильича 34 ,Товары для дома и дачи
Магия Стиля,ул. Карповича 7 ,Уход за внешностью
MK-Star,ул. Интернациональная 46 ,Уход за внешностью
Мусорная площадка,ул. Мазурова 70Б ,Бытовые услуги
Красотка,ул. Советская 21 ,Косметика и парфюмерия
Автосервис Голес,ул. Федюнинского 19 ,Производство и поставки
Стрит кебаб,ул. Советская 58 ,Быстрое питание
Молодежный театр,ул. проспект Ленина 10 ,Культура и искусство
Зоомуля,ул. Рябиновая 8 ,"Семья, дети, домашние животные"
ИТ Сервис,ул. Карповича 31 ,Материалы для оргтехники
Развал-схождение,ул. Героев Подпольщиков 20А ,Автомобили
Faberlic,ул. Речицкий проспект 131А ,Косметика и парфюмерия
Ваш семейный врач,ул. Кирова 33 ,Медицина и фармацевтика
Здоровый питомец,ул. Рогачёвская 2А ,"Семья, дети, домашние животные"
Clipsa,ул. Речицкий проспект 80 ,Товары для дома и дачи
Белагропромбанк,ул. Советская 34 ,Бизнес
Epam,ул. Интернациональная 13 ,Компьютеры и интернет
Мусорная площадка,ул. Свиридова 35 ,Бытовые услуги
Профтатиус,ул. Рабочая 10 ,Услуги бухгалтера
Life:),ул. проспект Ленина 10 ,Телекоммуникации и связь
Любимая аптека,ул. Григория Денисенко 4 (Индекс: 246029),Медицина и фармацевтика
Детские игровые залы и площадки,ул. Амурская 9 ,Развлечения
Ziko,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Аргонад,ул. Белого 14 ,Продажа сварочного оборудования
Белнефтестрах,ул. Интернациональная 42 ,Все виды страхования
Автоэлектрик диагностика,ул. Рабочая 22 ,Автомобили
Аудио Бокс,ул. Могилёвская 5 ,Установка кондиционеров
Ритуальные услуги,ул. Юбилейная 8/2 ,Ритуальные услуги
"Гомельский государственный медицинский университет, корпус № 3",ул. Карла Маркса 11А ,Наука и образование
ИП Кузьмич Н. М.,ул. Речицкий проспект 14Б ,Товары для дома и дачи
El-Shop.by,ул. Привокзальная площадь 1 (Индекс: 246022),Косметика и парфюмерия
Отдел дистанционных образовательных технологий и инноваций Бтэупк,ул. проспект Октября 50 ,Наука и образование
"Беларусбанк, инфокиоск",ул. Карповича 28 ,Реклама
Велопарковка,ул. Советская 196 ,Велопарковка
Ирбис и К,ул. Могилёвская 19А ,Обработка металла
Транспортная касса,ул. Курчатова 1 ,Заказ и доставка билетов
Олекс Холод-Бел,ул. Советская 32А ,Производство и поставки
Квартира в центре города,ул. Internatsionalnaya ulitsa 13 ,Недвижимость
Спол-Групп,ул. проспект Октября 26 (Индекс: 246029),Товары для дома и дачи
Гомельский областной клуб собаководства,ул. Интернациональный проезд 11 ,Общество
Белица-Сити,ул. Достоевского 1 ,Недвижимость
Ферма,ул. проспект Ленина 10 ,Кафе
Ахдут Гомельское Городское Еврейское Объединение,ул. Красноармейская 1А ,Религия
Белшар,ул. проспект Победы 16А ,Организация праздников
Славия,ул. Речицкий проспект 5В (Индекс: 246027),Финансы
Автостёкла,ул. Чонгарской Дивизии 5 ,Автомобили
Raiский Танцевальный клуб,ул. Гагарина 36 ,Культура и искусство
Остров чистоты,ул. проспект Ленина 63 ,Косметика и парфюмерия
ДЮСШ Омега,ул. Кирова 55 (Индекс: 246022),Спорт
Ремонт обуви,ул. Черноморская 13А ,Ремонт обуви
Western Union,ул. Октябрьская 15 ,Денежные переводы
Поворот,ул. Гагарина 46 ,Товары для дома и дачи
Велопарковка,ул. Крестьянская 15 ,Велопарковка
Газовое оборудование,ул. Воровского 59 ,Газобаллонное оборудование
Велопарковка,ул. Ильича 45 ,Велопарковка
Ремонт мобильных телефонов,ул. Речицкий проспект 61 ,Ремонт телефонов
ЧТУП КлёнСервис,ул. Украинская 24 ,"Системы водоснабжения, отопления, канализации"
Фотосалон,ул. Бочкина 194 ,Полиграфия
Аптекарь,ул. Советская 60Б ,Медицина и фармацевтика
Финансовое управление Гомельского городского исполнительного комитета,ул. Коммунаров 5 ,Государство
Хамелеон,ул. Советская 39 (Индекс: 246022),Уход за внешностью
Технобанк региональное управление № 3,ул. Советская 60 ,Обмен валюты
Три цены,ул. Бориса Царикова 1 ,Товары для дома и дачи
Аптека № 8 ФармОстров,ул. Кирова 90 ,Медицина и фармацевтика
Smart repair,ул. Советская 60 ,Бытовые услуги
"БПС-Сбербанк, инфокиоск",ул. Якуба Коласа 6А ,Реклама
Lakbi,ул. Гагарина 65 ,Товары для дома и дачи
"БПС-Сбербанк, банкомат",ул. Мазурова 60 ,Бизнес
Чай - кофе,ул. Речицкий проспект 40/1 ,Товары для дома и дачи
Чисто Tattoo,ул. Братьев Лизюковых 4А (Индекс: 246029),Уход за внешностью
Ада,ул. Рогачёвская 4 ,Бытовые услуги
Маяк,ул. Советская 161 ,Товары для дома и дачи
Мила,ул. Рогачёвская 1А ,Косметика и парфюмерия
Пассаж,ул. Кирова 3 ,Строительство
Anex Tour,ул. Ярославская 19 ,Турагентство
Табакерка,ул. Кожара 1 ,Товары для дома и дачи
БелГУТ,ул. проспект Победы 15 ,Транспорт и перевозки
Компьютермир,ул. М.Г. Ефремова 5 ,Продажа компьютеров
My Captain,ул. Речицкий проспект 41 ,Товары для дома и дачи
МамаМода,ул. Катунина 4 ,Товары для дома и дачи
Мусорная площадка,ул. Гагарина 59/4 ,Бытовые услуги
РГОО Белорусское Общество Знание Гомельская Городская Организационная Структура,ул. Пролетарская 69 ,Общество
Белбланк,ул. проспект Ленина 41 ,Бизнес
Белинвестбанк Банкомат № 13,ул. Ильича 30 ,Бизнес
Perfums Bar,ул. Хатаевича 9 ,Косметика и парфюмерия
Борменталь,ул. проспект Победы 16А ,Медицина и фармацевтика
Электросила,ул. Советская 97 ,Бытовая техника
Автомобильная парковка,ул. М.Г. Ефремова 5 ,Автомобили
Лодочные Моторы Hidea,ул. Объездная 12 ,Спорт
Беларусбанк,ул. Речицкий проспект 45 ,Бизнес
Вирма,ул. Барыкина 291 ,Производство и поставки
Общежитие советское,ул. проспект Октября 89 ,Туризм
Табакерка,ул. М.Г. Ефремова 4 ,Товары для дома и дачи
Продукты,ул. Свиридова 83А ,Товары для дома и дачи
Аптека Adel,ул. Владимирова 16 ,Медицина и фармацевтика
АвтоВелоМото,ул. Объездная 12 ,Спорт
Добрыя лекi,ул. Рогачёвская 5 ,Медицина и фармацевтика
Магазин автозапчастей,ул. Олимпийская 25 ,Автомобили
Avtostop.by,ул. Речицкий проспект 40 ,Автомобили
Губернский колодезь,ул. проспект Ленина 31 ,Товары для дома и дачи
33 пингвина,ул. Гагарина 65 ,Кафе
SMTurbo,ул. Речицкий проспект 65 ,Автомобили
ГУО Средняя школа № 44,ул. Юбилейная 4А ,Школы
Пицца Суши,ул. Советская 97 ,Кафе
Союзпромэкспорт,ул. Могилёвская 27 ,Металлоизделия
Управление социальной защиты Советского района г. Гомеля,ул. Речицкий проспект 6 (Индекс: 246027),Общество
Е в Квадрате,ул. 2-я Революционная 8/2 ,Продажа и установка окон
Натяжные потолки в Гомеле,ул. Богдана Хмельницкого 59 ,Стройматериалы
Ясли-сад № 136 г. Гомеля,ул. проспект Космонавтов 92А ,Наука и образование
Airent,ул. Советская 39 (Индекс: 246022),Транспорт и перевозки
Мила,ул. Речицкий проспект 91 ,Косметика и парфюмерия
Western Union,ул. Ильича 93 ,Денежные переводы
Спортаптека,ул. Катунина 14 ,Продажа спортивного питания
Белинвестбанк Банкомат № 52,ул. Свиридова 15 ,Бизнес
Волотовской,ул. Огоренко 33 ,Мебель
Салон бровей и ресниц,ул. 25 микрорайон Восточный ,Салон бровей и ресниц
Фармация,ул. Ильича 290 ,Медицина и фармацевтика
GomelHome,ул. Трудовая 7 ,Туризм
Гомельский областной Дом учащихся и работников учреждений профессионального образования,ул. проспект Октября 38А (Индекс: 246029),Общество
Садовод,ул. Катунина 4 ,Товары для дома и дачи
Мода на природу,ул. Катунина 4 ,Товары для дома и дачи
Пункт выдачи заказов Dpd,ул. Карповича 18 ,Транспорт и перевозки
"Сбербанк, банкомат",ул. Калинина 7 ,Бизнес
"Гомельская центральная городская стоматологическая поликлиника, филиал № 1",ул. Крестьянская 21 ,Медицина и фармацевтика
Паритетбанк,ул. Катунина 24 ,Бизнес
Магазин электроники,ул. Речицкий проспект 61 ,Товары для дома и дачи
Алютех,ул. Украинская 24 ,Установка рольставней
Суши Маркет,ул. Подгорная 12/1 (Индекс: 246022),Кафе
Фал туристическое агентство,ул. Ирининская 23 ,Туризм
